Krita	Creative	flatpak	org.kde.krita	Digital painting app
Blender	Creative	flatpak	org.blender.Blender	3D creation suite
Musescore	Creative	flatpak	org.musescore.MuseScore	Sheet music editor
Darktable	Creative	flatpak	org.darktable.Darktable	Photography workflow
RawTherapee	Creative	flatpak	com.rawtherapee.RawTherapee	RAW image processor
Godot	Development	flatpak	org.godotengine.Godot	Game engine
Visual Studio Code	Development	flatpak	com.visualstudio.code	Code editor
Visual Studio Code	Development	snap	code	Code editor
Postman	Development	snap	postman	API platform
Insomnia	Development	snap	insomnia	API client
Zed	Development	flatpak	dev.zed.Zed	High-performance code editor
python3	Development	apt	python3	Python runtime
nodejs	Development	apt	nodejs	Node.js runtime
git	Development	apt	git	Version control
Obsidian	Productivity	flatpak	md.obsidian.Obsidian	Knowledge base app
LibreOffice	Productivity	flatpak	org.libreoffice.LibreOffice	Office suite
OnlyOffice	Productivity	flatpak	org.onlyoffice.desktopeditors	Office editors
Logseq	Productivity	flatpak	com.logseq.Logseq	Outliner and PKM tool
Zotero	Productivity	flatpak	org.zotero.Zotero	Reference manager
Planify	Productivity	flatpak	io.github.alainm23.planify	Task manager
Bitwarden	Security	flatpak	com.bitwarden.desktop	Password manager
KeePassXC	Security	flatpak	org.keepassxc.KeePassXC	Password manager
Cryptomator	Security	flatpak	org.cryptomator.Cryptomator	Cloud file encryption
Metadata Cleaner	Security	flatpak	fr.romainvigier.MetadataCleaner	Strip file metadata
Steam	Gaming	flatpak	com.valvesoftware.Steam	Game launcher
Heroic Games	Gaming	flatpak	com.heroicgameslauncher.hgl	Epic and GOG launcher
Lutris	Gaming	flatpak	net.lutris.Lutris	Open gaming platform
Bottles	Gaming	flatpak	com.usebottles.bottles	Windows app runner
RetroArch	Gaming	flatpak	org.libretro.RetroArch	Multi-system emulator
PPSSPP	Gaming	flatpak	org.ppsspp.PPSSPP	PSP emulator
Dolphin	Gaming	flatpak	org.DolphinEmu.dolphin-emu	GameCube and Wii emulator
PCSX2	Gaming	flatpak	net.pcsx2.PCSX2	PlayStation 2 emulator
mGBA	Gaming	flatpak	io.mgba.mGBA	GBA emulator
Pika Backup	System	flatpak	org.gnome.World.PikaBackup	GNOME backup tool
Flatseal	System	flatpak	com.github.tchx84.Flatseal	Flatpak permissions manager
Warehouse	System	flatpak	io.github.flattool.Warehouse	Flatpak management UI
Baobab	System	flatpak	org.gnome.baobab	Disk usage analyzer
GNOME Disk Utility	System	flatpak	org.gnome.DiskUtility	Disk manager
Font Downloader	System	flatpak	org.gustavoperedo.FontDownloader	Install fonts
Extension Manager	System	flatpak	com.mattjakeman.ExtensionManager	GNOME extensions manager
htop	System	apt	htop	Interactive process viewer
btop	System	apt	btop	Resource monitor
curl	System	apt	curl	Transfer tool
wget	System	apt	wget	Download tool
jq	System	apt	jq	JSON processor
ripgrep	System	apt	ripgrep	Fast text search
neofetch	System	apt	neofetch	System info tool
fastfetch	System	apt	fastfetch	Fast system info tool
Gedit	Editor	flatpak	org.gnome.gedit	GNOME text editor
Kate	Editor	flatpak	org.kde.kate	Advanced text editor
Mousepad	Editor	flatpak	org.xfce.mousepad	Xfce text editor
Apostrophe	Editor	flatpak	org.gnome.gitlab.somas.Apostrophe	Distraction-free Markdown editor
neovim	Editor	apt	neovim	Terminal editor
Emote	Utility	flatpak	com.tomjwatson.Emote	Emoji picker
Curtail	Utility	flatpak	com.github.huluti.Curtail	Image compressor
Upscaler	Utility	flatpak	io.gitlab.theevilskeleton.Upscaler	AI image upscaler
Kooha	Utility	flatpak	io.github.seadve.Kooha	Screen recorder
Eyedropper	Utility	flatpak	com.github.finefindus.eyedropper	Color picker
Warp	Utility	flatpak	app.drey.Warp	File sharing over LAN
Clocks	Utility	flatpak	org.gnome.clocks	World clocks and alarms
Calculator	Utility	flatpak	org.gnome.Calculator	GNOME calculator
Weather	Utility	flatpak	org.gnome.Weather	Weather forecasts
Feeds	Utility	flatpak	org.gabmus.gfeeds	RSS and Atom feed reader
